date,VALE3,ITUB4,PETR4,B3SA3,BBDC4,PETR3,ABEV3,ITSA4,WEGE3,ODPV3,IBOV,SELIC
03-Jan-2011,29.05,6.1,22.03,2.94,7.53,27.01,5.41,2.13,2.6,5.06,69962,0.00040239
04-Jan-2011,29.65,6.15,21.95,2.95,7.6,26.8,5.42,2.15,2.55,5.24,70318,0.00040203
05-Jan-2011,30.19,6.24,22.21,2.88,7.74,27.3,5.31,2.18,2.52,5.12,71091,0.00040239
06-Jan-2011,29.8,6.09,22.12,2.92,7.54,27.14,5.26,2.14,2.49,5.09,70579,0.00040203
07-Jan-2011,29.57,5.94,21.81,2.85,7.41,26.74,5.24,2.07,2.49,5.06,70057,0.00040239
10-Jan-2011,29.52,5.99,22.02,2.86,7.43,26.93,5.23,2.1,2.49,5.1,70127,0.00040203
11-Jan-2011,29.83,6.03,22.16,2.77,7.46,27.19,5.24,2.12,2.53,5.22,70423,0.00040203
12-Jan-2011,30.65,6.19,22.77,2.77,7.61,28.05,5.07,2.17,2.56,5.19,71633,0.00040203
13-Jan-2011,30.44,6.05,22.29,2.69,7.52,27.19,5.03,2.13,2.53,5.14,70721,0.00040203
14-Jan-2011,30.57,6.09,22.48,2.72,7.59,27.43,4.94,2.12,2.53,5.16,70940,0.00040203
17-Jan-2011,30.85,6,22.4,2.73,7.48,27.16,5.06,2.09,2.52,5.26,70609,0.00040203
18-Jan-2011,31.23,5.92,22.62,2.68,7.49,27.59,4.85,2.07,2.51,5.2,70920,0.00040203
19-Jan-2011,30.55,5.86,22.28,2.64,7.4,26.87,4.88,2.03,2.51,5.19,70058,0.00040203
20-Jan-2011,30.04,5.72,22.25,2.62,7.27,26.83,4.85,1.99,2.5,5.19,69562,0.00041993
21-Jan-2011,30.25,5.72,22.08,2.63,7.21,26.63,4.73,1.99,2.47,5.19,69133,0.00041993
24-Jan-2011,30.45,5.76,22.03,2.68,7.32,26.75,4.81,2.01,2.43,5.06,69427,0.00041993
26-Jan-2011,30.43,5.68,21.9,2.67,7.28,26.3,4.9,1.97,2.4,4.81,68709,0.00041993
27-Jan-2011,30.12,5.7,21.93,2.64,7.31,26.4,4.88,1.97,2.39,4.56,68051,0.00042029
28-Jan-2011,29.26,5.58,21.77,2.61,7.13,26.16,4.72,1.94,2.33,4.35,66698,0.00042029
31-Jan-2011,29.26,5.47,22.11,2.56,7.03,26.79,4.73,1.9,2.35,4.56,66575,0.00042029
01-Feb-2011,29.98,5.55,22.56,2.61,7.04,27.36,4.69,1.92,2.34,4.51,67847,0.00041993
